id,legalName,RoadNameAddress,AdministrativeNeighborhood
160,밥강도꽃게장,전북 군산시 공단대로 139,수송동
161,낭만가비,전북 군산시 청소년회관로 49,신풍동
162,곤드레만드레,전북 군산시 의료원로 137,나운3동
163,미생이네,전북 군산시 하신2길 15,나운1동
164,은파장어,전북 군산시 공항로 126,미성동
165,카페33.9,전북 군산시 조촌안1길 22,조촌동
166,육비보쌈,전북 군산시 수송로 122,수송동
167,인사동,전북 군산시 상지곡안2길 4-7,수송동
168,우리들이야기,전북 군산시 상지곡3길 28,수송동
169,둥지,전북 군산시 칠성4길 173,소룡동
170,산수모밀,전북 군산시 청소년회관로 70,신풍동
171,황금개정오리,전북 군산시 번영로 411,개정동
172,큰들,전북 군산시 대야면 우덕실길 55,대야면
173,고수쌀치킨,전북 군산시 임피면 호원대3길 62,임피면
174,쭈노치킨호원대점,전북 군산시 임피면 호원대3길 47,임피면
175,BBQ치킨,전북 군산시 옥서면 남군산로 1911-7,옥서면
176,진포해장국,전북 군산시 새만금북로 211,소룡동
177,나주곰탕본가,전북 군산시 옥산면 여로1길 49,옥산면
178,만나식당,전북 군산시 평화길 137,월명동
179,꽃돼지,전북 군산시 팔마로 119,흥남동
180,연변이모양꼬치,전북 군산시 요죽안2길 22,소룡동
181,춘추옥,전북 군산시 상지곡1길 49,수송동
182,황태해장국,전북 군산시 시청로 8-6,조촌동
183,마시꼬핫도그,전북 군산시 팔마로 186,흥남동
184,이가빈,전북 군산시 비응남로 97,소룡동
185,다락,전북 군산시 조촌안3길 19,조촌동
186,두끼군산점,전북 군산시 수송로 86,나운2동
187,회현농협,전북 군산시 회현면 광지산길 4,회현면
188,포차어게인,전북 군산시 수송로 23,나운1동
189,옛날가마솥양념통닭,전북 군산시 삼학안1길 10,삼학동
190,24시전주명가콩나물국밥군산수송점,전북 군산시 수송로 241,수송동
191,사랑채,전북 군산시 양안로 97,조촌동
192,이지행중국음식점,전북 군산시 동령길 27,월명동
193,파반느레스토랑,전북 군산시 동아로 145-1,미성동
194,로드카페,전북 군산시 해망로 206,월명동
195,우리왕족발보쌈,전북 군산시 하나운로 45,나운2동
196,에디슨치킨,전북 군산시 하나운로 20,나운3동
197,우리통닭,전북 군산시 풍전3길 30,소룡동
198,뚜레쥬르군산동원점,전북 군산시 의료원로 108,수송동
199,왕고을황제갈비,전북 군산시 개정면 아동북길 63-6,개정면
200,화수목민물장어즉석숯불구이,전북 군산시 상지곡3길 43,수송동
201,카페다커피군산점,전북 군산시 상지곡안2길 18,수송동
202,싱싱세꼬시회,전북 군산시 황룡로 57,나운3동
203,군산수산물센터,전북 군산시 도선길 17,해신동
204,놀부옛날통닭군산수송통닭점,전북 군산시 수송안9길 5,수송동
205,BBQ치킨군산산북소룡점,전북 군산시 칠성7길 96,미성동
206,커피하우스,전북 군산시 비응동로 55,소룡동
207,철길왕닭꼬치,전북 군산시 경촌4길 26,경암동
208,회현식당,전북 군산시 회현면 회현로 179,회현면
209,고봉민김밥인,전북 군산시 수송3길 1,수송동
210,들녘,전북 군산시 칠성5길 31,나운3동
211,지코바양념치킨수송점,전북 군산시 축동안길 37,수송동
212,토스트하우스,전북 군산시 설림3길 23,소룡동
213,문서방네국밥,전북 군산시 새만금북로 297,소룡동
214,꽃샘마을,전북 군산시 대학로 309,나운1동
215,커피앤토스트,전북 군산시 비응남로 77,소룡동
216,방앗간,전북 군산시 미제2길 8-10,나운3동
217,최돼지부라더스,전북 군산시 미제2길 8-4,나운3동
218,빅샷커피,전북 군산시 부곡5길 10,나운3동
219,소설여행,전북 군산시 월명로 516-2,해신동
220,부길국밥,전북 군산시 구암로 174,구암동
221,칠성포차,전북 군산시 동수송5길 6,수송동
222,밥이랑국수랑,전북 군산시 서수면 함안로 431,서수면
223,예가명태찜,전북 군산시 계산로 87-8,수송동
224,그대에게말합니다,전북 군산시 대학로 210-1,신풍동
225,에이비씨커피,전북 군산시 문화로 33,신풍동
226,더갈비드림빌점,전북 군산시 옥서면 옥구저수지로 307,옥서면
227,에이비씨커피,전북 군산시 자유로 482,소룡동
228,본가해장국,전북 군산시 공단대로 129,수송동
229,현대옥나운동삼성아파트점,전북 군산시 수송로 56,나운2동
230,서수반점,전북 군산시 서수면 항쟁로 210,서수면
231,초가마루,전북 군산시 소룡길 48,소룡동
232,명진이네,전북 군산시 지곡로 14,수송동
233,호박터,전북 군산시 옥산면 산성로 166,옥산면
234,다이아몬드청춘클럽,전북 군산시 부곡5길 6-1,나운3동
235,동촌가든,전북 군산시 법원로 25-4,조촌동
236,배스킨라빈스31군산영동점,전북 군산시 중앙로 139,월명동
237,붉은대게,전북 군산시 수송7길 27,수송동
238,요다지,전북 군산시 상나운3길 42,나운1동
239,빵가마,전북 군산시 축동로 188,삼학동
240,봉구스밥버거중앙점,전북 군산시 약전안길 7,중앙동
241,군산유생촌,전북 군산시 나운안1길 36,나운2동
242,함흥냉면나운점,전북 군산시 상나운안길 11,나운1동
243,청해루,전북 군산시 하신재길 8,나운1동
244,우리동네가맥,전북 군산시 부곡로 124,나운3동
245,그린아구복즉석전문,전북 군산시 조촌4길 70,조촌동
246,생생포크생생한우,전북 군산시 미성로 513,나운3동
247,제일떡집,전북 군산시 신영2길 20-1,중앙동
248,서울떡집,전북 군산시 신영2길 7,중앙동
249,시장떡집,전북 군산시 대명3길 44,흥남동
250,강여사족발,전북 군산시 신금길 18,중앙동
251,아무데나,전북 군산시 하나운안2길 6-1,나운1동
252,선유스토리,전북 군산시 옥도면 선유북길 119,옥도면
253,해물나라,전북 군산시 옥도면 선유북길 117,옥도면
254,경일옻닭,전북 군산시 동팔마길 41,흥남동
255,미궁,전북 군산시 상신2길 17,나운1동
256,본뼈,전북 군산시 수송1길 25,수송동
257,줌마포차,전북 군산시 하신안길 37,나운1동
258,꿉자,전북 군산시 나운안길 27,나운2동
259,따라와,전북 군산시 임피면 호원대3길 47,임피면
260,민들레국수,전북 군산시 황룡안길 39,나운3동
261,행복한빵집,전북 군산시 대명3길 17,흥남동
262,문화분식,전북 군산시 삼화길 4,신풍동
263,치킨매니아나운점,전북 군산시 하신2길 15,나운1동
264,아나고천국,전북 군산시 구영4길 16-5,월명동
265,박경규웰빙항아리보쌈,전북 군산시 공단대로 117,수송동
266,인사동전통찻집,전북 군산시 하나운안1길 12,나운1동
267,군산맥주협동조합,전북 군산시 옥구읍 양등길 40-8,옥구읍
268,이지바이전북군산나운점,전북 군산시 하나운로 63,나운2동
269,포세이돈조개전골,전북 군산시 수송남로 12,수송동
270,신창동도가니탕,전북 군산시 중정길 43,월명동
271,다맛부대찌개삼겹살,전북 군산시 새만금북로 289,소룡동
272,충만치킨소룡점,전북 군산시 공항로 86,소룡동
273,서해정,전북 군산시 신평길 11,수송동
274,모임실비포차,전북 군산시 칠성안1길 18,미성동
275,대가감자탕지곡점,전북 군산시 옥산면 계산로 95,옥산면
276,시골손두부,전북 군산시 하나운3길 12,나운1동
277,벤틀리,전북 군산시 부곡1길 61,나운3동
278,설이봉설렁탕,전북 군산시 동수송안길 35,수송동
279,군산순대국밥,전북 군산시 미제길 31,나운3동
280,양등떡방아간,전북 군산시 미룡로 11,나운3동
281,하도시골밥상부페,전북 군산시 비응동로 82,소룡동
282,해오름국밥,전북 군산시 임피면 호원대3길 58,임피면
283,더카페,전북 군산시 백릉로 70,조촌동
284,BELIEVECOFFEE,전북 군산시 비응남로 97,소룡동
285,벤베누띠,전북 군산시 문화로 121,수송동
286,편안식당,전북 군산시 구암로 50,조촌동
287,커피마을아몬드아저씨,전북 군산시 진포1길 46,수송동
288,보라매회집,전북 군산시 구영3길 11-1,월명동
289,야미얌얌분식,전북 군산시 서흥길 19,신풍동
290,명인만두군산나운점,전북 군산시 하나운로 48,나운2동
291,냠냠분식,전북 군산시 나운로 58,나운1동
292,제이제이뮤직홀,전북 군산시 부곡4길 11-2,나운3동
293,옛마을,전북 군산시 요죽길 30-8,소룡동
294,미장국수집,전북 군산시 공단대로 131,수송동
295,이디야커피,전북 군산시 구영7길 101,월명동
296,신전떡볶이,전북 군산시 축동안길 37,수송동
297,타르타르,전북 군산시 수송로 188,수송동
298,순덕이네김치찌게,전북 군산시 가도로 19,소룡동
299,도담한우,전북 군산시 칠성로 161,소룡동
300,삼일통닭,전북 군산시 서수면 황등서로 415,서수면
301,갈무리수송점,전북 군산시 동수송5길 9,수송동
302,탁류길서리,전북 군산시 오룡재길 44,월명동
303,만남국밥,전북 군산시 미제길 41,나운3동
304,다옴,전북 군산시 진포로 174,조촌동
305,정성골,전북 군산시 명산길 6,월명동
306,커피플라이,전북 군산시 미제1길 8,나운3동
307,요가파이어매운갈비찜,전북 군산시 서수송1길 9,나운2동
308,멕시카나,전북 군산시 옥서면 옥구저수지로 232,옥서면
309,어담향,전북 군산시 수송안2길 5,수송동
310,나도섬포차,전북 군산시 부원로 12-1,나운3동
311,궁전장어매운탕,전북 군산시 현충로 12,나운3동
312,메가커피나운점,전북 군산시 백토로 110,나운2동
313,셀렉토커피,전북 군산시 백토로 114,나운2동
314,피자헤븐,전북 군산시 상지곡안1길 32,수송동
315,큐베이커리,전북 군산시 미제길 13,나운3동
316,석호수산식당,전북 군산시 비응남로 111,소룡동
317,지요커피,전북 군산시 회현면 회현로 182,회현면
318,신전떡볶이,전북 군산시 대학로 36-1,월명동
319,시골막국수,전북 군산시 중앙로 56,흥남동
320,언니네밥상,전북 군산시 새만금북로 285,소룡동
321,안흥찐빵,전북 군산시 칠성6길 179,소룡동
322,커피벨트,전북 군산시 회현면 회현로 123,회현면
323,골목집,전북 군산시 계산로 87-6,수송동
324,치킨더홈문화점,전북 군산시 하신재길 28,신풍동
325,1974연탄시절,전북 군산시 진포로 161,조촌동
326,청기와아구,전북 군산시 진포로 133,조촌동
327,나운초밥,전북 군산시 하나운안2길 17,나운1동
328,하이원유황오리,전북 군산시 옥구읍 옥구로 2,옥구읍
329,쿤밍,전북 군산시 수송로 163,수송동
330,더정겨운,전북 군산시 축동안길 5-28,수송동
331,피자샵군산점,전북 군산시 백토로 219-1,수송동
332,"순이네명태찜,탕",전북 군산시 문화1길 87,FALSE
333,어시장활어회직거래판매장,전북 군산시 신평길 20,수송동
334,다온,전북 군산시 남수송4길 4,수송동
335,통뼈감자탕소룡점,전북 군산시 소룡길 73,소룡동
336,나들목,전북 군산시 동수송7길 6,수송동
337,방순남명인시골통닭,전북 군산시 수송로 119,나운2동
338,바보스,전북 군산시 칠성로 142,미성동
339,은파장작구이,전북 군산시 한밭로 76-7,나운3동
340,복사골옛날김치찌개,전북 군산시 동메3길 31,수송동
341,북촌손만두,전북 군산시 수송로 210,수송동
342,미소찬방,전북 군산시 해망로 132-25,중앙동
343,갈무리군산대점,전북 군산시 황룡로 10,나운3동
344,네네치킨수송점,전북 군산시 동수송3길 22,수송동
345,해피빈스,전북 군산시 월명로 477,월명동
346,민선초가,전북 군산시 지곡로 20,수송동
347,스테이블,전북 군산시 계산로 87-6,수송동
348,군산어심횟집,전북 군산시 남수송5길 8-8,수송동
349,개성집,전북 군산시 동수송안길 39,수송동
350,맛젤치킨군산조촌미장점,전북 군산시 백릉로 102,조촌동
351,코바코군산휴게소목포방면,전북 군산시 성산면 서해안고속도로 141,성산면
352,88콩나물국밥,전북 군산시 나운안1길 23,나운2동
353,바보스군산소룡산북점,전북 군산시 칠성로 141,미성동
354,코바코,전북 군산시 나포면 서해안고속도로 148,나포면
355,서해생선탕,전북 군산시 동메1길 30-2,수송동
356,생생맛족발,전북 군산시 미원로 64-1,삼학동
357,아복식당,전북 군산시 풍문2길 35,흥남동
358,나의살던고향,전북 군산시 신설4길 9,나운1동
359,멕시칸치킨,전북 군산시 칠성로 38,나운3동
360,머글래싸갈래,전북 군산시 미제길 31,나운3동
361,음식및숙박업,전북 군산시 개정면 금강로 470,개정면
362,샘골바람,전북 군산시 옥산면 대려2길 35,옥산면
363,맛있는집,전북 군산시 공항로 121,소룡동
364,복경반점,전북 군산시 오룡로 63-1,월명동
365,마남맛집,전북 군산시 옥서면 옥구저수지로 228,옥서면
366,김밥천국,전북 군산시 용둔길 12,나운3동
367,콩불,전북 군산시 백토로 117,나운2동
368,깐치멀추억의맛집,전북 군산시 성산면 깐치멀1길 20,성산면
369,이조복집,전북 군산시 상지곡안4길 21,수송동
370,명동소바,전북 군산시 평화길 122,월명동
371,영희네왕족발보쌈,전북 군산시 분멀2길 4,소룡동
372,러브발렌타인,전북 군산시 동령길 6,월명동
373,이삼치킨,전북 군산시 하나운로 124,나운2동
374,초가야식,전북 군산시 소룡2길 21,소룡동
375,마초,전북 군산시 옥도면 선유북길 91,옥도면
376,이삭분식,전북 군산시 축동안길 55,수송동
377,포세이돈,전북 군산시 수송남로 12,수송동
378,한남생고깃간,전북 군산시 계산2길 92,수송동
379,더큰두마리치킨피자,전북 군산시 칠성4길 170,소룡동
380,너와나의연탄구이,전북 군산시 하나운1길 28,나운1동
381,파이맘,전북 군산시 미장남로 10,수송동
382,찰보리오리향,전북 군산시 공단대로 398,나운2동
383,삼십센티미터수제왕돈가스,전북 군산시 축동안3길 29,수송동
384,믹스,전북 군산시 칠성로 108,미성동
385,작은새,전북 군산시 구영7길 119,월명동
386,우리밀,전북 군산시 서수면 동군산로 861,서수면
387,짬뽕세상,전북 군산시 축동로 27,수송동
388,"일번지김밥,국수",전북 군산시 수송로 70,FALSE
389,커피베이,전북 군산시 계산로 87-12,수송동
390,광수생각,전북 군산시 신금길 19,중앙동
391,시장국수집,전북 군산시 대야면 대야시장로 9-1,대야면
392,신영찻집,전북 군산시 신금길 19,중앙동
393,고향맛집,전북 군산시 신금길 19,중앙동
394,아!그집,전북 군산시 신금길 19,중앙동
395,명산식당,전북 군산시 거석길 3-1,월명동
396,나드리떡집,전북 군산시 신금길 19,중앙동
397,복순네해물마당,전북 군산시 하신1길 11,나운1동
398,김밥천국,전북 군산시 하나운안1길 41,나운1동
399,북경반점,전북 군산시 오룡로 65,월명동
400,홈집,전북 군산시 동신영길 47-3,중앙동
401,평화족발빵1074,전북 군산시 신금길 18,중앙동
402,서비스분식1076,전북 군산시 신금길 18,중앙동
403,경상도횟집,전북 군산시 내항2길 216,해신동
404,팥죽,전북 군산시 대야면 대야시장로 15-2,대야면
405,떡볶이닭강정1077,전북 군산시 신금길 18,중앙동
406,늘봄다방,전북 군산시 미원안길 32,흥남동
407,일흥정육식당,전북 군산시 서수면 용천로 357,서수면
408,시애틀레스토랑,전북 군산시 백토로 244,나운3동
409,재호냉동수산,전북 군산시 경촌1길 56,경암동
410,청담동말자싸롱,전북 군산시 신지길 65,수송동
411,라고,전북 군산시 대학로 400,나운3동
412,화심순두부,전북 군산시 미장서로 40,수송동
413,아프리카커피가게,전북 군산시 양안로 74,조촌동
414,논두렁쌈밥,전북 군산시 구암로 124,구암동
415,갈라,전북 군산시 대학로 400,나운3동
416,커피902,전북 군산시 사정동길 35,개정동
417,길포차,전북 군산시 부골2길 47-6,조촌동
418,커피베이조촌점,전북 군산시 경촌안2길 13,조촌동
419,와바노래타운,전북 군산시 부곡5길 14-6,나운3동
420,바다회집현대코아점,전북 군산시 문화안길 11,나운1동
421,원빈니치커피하우스,전북 군산시 서수송2길 20,나운2동
422,냠냠식당,전북 군산시 옥녀로 6-29,미성동
423,59피자,전북 군산시 황룡로 37,나운3동
424,누렁송아지,전북 군산시 의료원로 149,나운3동
425,오랑게,전북 군산시 축동안길 60,수송동
426,대전집,전북 군산시 거석길 41,월명동
427,다사랑치킨피자호프나운점,전북 군산시 수송로 19,나운1동
428,마리오야,전북 군산시 중정길 14,월명동
429,원조교동짬뽕,전북 군산시 산북로 208,소룡동
430,이화식당,전북 군산시 진포로 155,조촌동
431,월드킹,전북 군산시 월명로 244,수송동
432,삼대감자탕해장국,전북 군산시 가도로 10,소룡동
433,더국밥,전북 군산시 번영로 148-4,조촌동
434,삿갓다방,전북 군산시 구영4길 33,월명동
435,충만치킨군산산북점,전북 군산시 칠성안1길 44,미성동
436,퐁당퐁당,전북 군산시 해망로 80-1,중앙동
437,캠프원,전북 군산시 황룡로 16,나운3동
438,참진국수,전북 군산시 백릉로 118,조촌동
439,달려라포차,전북 군산시 부곡3길 18,나운3동
440,이성당신관,전북 군산시 중앙로 179,월명동
441,카페다군산점,전북 군산시 상지곡안2길 18,수송동
442,정담,전북 군산시 의료원로 96,수송동
443,명성고기부페,전북 군산시 가도2길 27-8,소룡동
444,전라북도군산의료원장례식장오행원,전북 군산시 의료원로 27,수송동
445,수송아구포차,전북 군산시 부곡1길 75,나운3동
446,다사랑치킨피자호프수송점,전북 군산시 동수송7길 16,수송동
447,처갓집양념치킨,전북 군산시 미장남로 36,수송동
448,연방죽가든,전북 군산시 성산면 월포길 144,성산면
449,군산바다,전북 군산시 구영6길 110,월명동
450,호떡분식,전북 군산시 번영로 131,조촌동
451,디온니자연드림,전북 군산시 수송로 285,수송동
452,세월촌,전북 군산시 수송로 20,나운1동
453,보물섬자연산횟집,전북 군산시 평화길 126-3,월명동
454,알통떡강정산북점,전북 군산시 동아로 144,미성동
455,이삭토스트군산터미널점,전북 군산시 해망로 17-9,흥남동
456,꽃피는청춘,전북 군산시 미제2길 8-10,나운3동
457,두꺼비식당,전북 군산시 구영5길 41,월명동
458,슈가커피,전북 군산시 조촌로 90,조촌동
459,못참아그파닭&젤라토레,전북 군산시 칠성5길 137,미성동
460,라온,전북 군산시 수송안10길 5,수송동
461,다사랑치킨피자대명점,전북 군산시 대명길 8,흥남동
462,나눔식당,전북 군산시 자유무역1길 21,소룡동
463,카페아르,전북 군산시 동팔마길 50-1,흥남동
464,피자나라치킨공주군산나운점,전북 군산시 서수송1길 39,나운2동
465,성누정,전북 군산시 옥구읍 옥구남로 5-1,옥구읍
466,맛젤치킨수송나운점,전북 군산시 서수송안1길 17,나운2동
467,한솥도시락군산산단점,전북 군산시 가도로 189,소룡동
468,네네치킨중앙점,전북 군산시 중앙로 94,중앙동
469,하제횟집,전북 군산시 옥서면 난산길 46-1,옥서면
470,동보성,전북 군산시 수송1길 19,수송동
471,"놀부보쌈,놀부부대찌개",전북 군산시 수송로 209,FALSE
472,로즈,전북 군산시 새만금북로 435,소룡동
473,다락,전북 군산시 서흥1길 3,신풍동
474,명가네삼겹,전북 군산시 새터길 25,구암동
475,온더블랙,전북 군산시 수송로 197,수송동
476,청와삼대,전북 군산시 상신3길 23,나운1동
477,꼬야,전북 군산시 칠성4길 146,미성동
478,명성가,전북 군산시 계산로 87-12,수송동
479,백씨네밥상,전북 군산시 대명길 12-2,흥남동
480,못말리는프랜즈,전북 군산시 임피면 호원대3길 62,임피면
481,오롯이닭요리,전북 군산시 신지길 66,수송동
482,1988고기불패,전북 군산시 상지곡안1길 31,수송동
